code,market_cap_million,as_of,close,finance_date,net_profit,eps,estimated_shares,source
8233,686691.354,2026-08-31,2343.5,2026-06-30,11082000000,37.82,293019566.367,NP/EPS*close
8242,348380.947,2026-08-31,3046,2026-08-04,10265000000,89.75,114373259.053,NP/EPS*close
8252,522276.159,2026-08-31,2918.5,2026-08-04,9030000000,50.46,178953626.635,NP/EPS*close
8253,670943.402,2026-08-31,4671,2026-08-12,21750000000,151.42,143640206.049,NP/EPS*close
8267,3753889.479,2026-08-31,1356.5,2026-07-10,13809000000,4.99,2767334669.339,NP/EPS*close
8282,300911.579,2026-08-31,1947.5,2026-08-06,9161000000,59.29,154511722.044,NP/EPS*close
8303,1392795.664,2026-08-31,1570,2026-07-31,38466000000,43.36,887130996.31,NP/EPS*close
8304,471864.289,2026-08-31,3408,2026-07-31,11492000000,83,138457831.325,NP/EPS*close
8306,41503293.298,2026-08-31,3680,2026-08-06,809427000000,71.77,11278068830.988,NP/EPS*close
8308,5692393.965,2026-08-31,2530,2026-07-31,80526000000,35.79,2249958088.852,NP/EPS*close
8309,1234516.759,2026-08-31,1777,2026-07-30,142223000000,204.72,694719617.038,NP/EPS*close
8316,26569440.055,2026-08-31,6975,2026-07-31,501372000000,131.62,3809238717.52,NP/EPS*close
8331,1953941.149,2026-08-31,2820,2026-08-04,29905000000,43.16,692886932.345,NP/EPS*close
8334,1075818.338,2026-08-31,2842.5,2026-08-03,17584000000,46.46,378476108.48,NP/EPS*close
8341,890881.953,2026-08-31,3993,2026-07-31,22204000000,99.52,223110932.476,NP/EPS*close
8354,1489255.845,2026-08-31,7881,2026-08-07,28708000000,151.92,188967877.83,NP/EPS*close
8359,1240022.749,2026-08-31,2717.5,2026-07-31,23719000000,51.98,456310119.277,NP/EPS*close
8377,1007370.517,2026-08-31,8385,2026-07-29,23581000000,196.28,120139596.495,NP/EPS*close
8410,395972.185,2026-08-31,338.7,2026-08-07,6582000000,5.63,1169094138.544,NP/EPS*close
8411,21015065.447,2026-08-31,8623,2026-07-30,422909000000,173.53,2437094450.527,NP/EPS*close
8418,659797.927,2026-08-31,3240,2026-08-07,14149000000,69.48,203641335.636,NP/EPS*close
8424,398961.402,2026-08-31,4422,2026-07-30,14025000000,155.45,90221936.314,NP/EPS*close
8439,1317643.076,2026-08-31,2695,2026-08-03,35129000000,71.85,488921363.953,NP/EPS*close
8473,2142084.996,2026-08-31,3314,2026-07-31,148065000000,229.07,646374470.686,NP/EPS*close
8570,360971.635,2026-08-31,1672,2026-07-09,8966000000,41.53,215892126.174,NP/EPS*close
8572,762196.095,2026-08-31,486.5,2026-08-24,79635000000,50.83,1566692897.895,NP/EPS*close
8591,6891663.561,2026-08-31,6284,2026-08-06,280832000000,256.07,1096700121.061,NP/EPS*close
8593,2000133.727,2026-08-31,1394,2026-08-07,31609000000,22.03,1434816159.782,NP/EPS*close
8595,122751.397,2026-08-31,2337.5,2026-07-24,564000000,10.74,52513966.48,NP/EPS*close
8601,2556519.395,2026-08-31,1843.5,2026-08-06,56414000000,40.68,1386774827.925,NP/EPS*close
8604,4770841.994,2026-08-31,1635.5,2026-08-06,145561000000,49.9,2917054108.216,NP/EPS*close
8630,6109091.267,2026-08-31,6850,2026-08-14,181168000000,203.14,891838141.183,NP/EPS*close
8697,2309120.097,2026-08-31,2250,2026-07-28,29567000000,28.81,1026275598.75,NP/EPS*close
8725,7398395.9,2026-08-31,5107,2026-08-14,328618000000,226.84,1448677481.926,NP/EPS*close
8729,1058414.599,2026-08-31,158.3,2026-08-10,9160000000,1.37,6686131386.861,NP/EPS*close
8750,6621951.001,2026-08-31,1838.5,2026-08-07,160065000000,44.44,3601822682.268,NP/EPS*close
8766,14733888.608,2026-08-31,7707,2026-08-12,264300000000,138.25,1911754068.716,NP/EPS*close
8795,2341514.237,2026-08-31,4880,2026-08-07,42296000000,88.15,479818491.208,NP/EPS*close
8801,4116722.718,2026-08-31,1522.5,2026-08-07,75818000000,28.04,2703922967.19,NP/EPS*close
8802,4573749.147,2026-08-31,3795,2026-08-07,95416000000,79.17,1205203991.411,NP/EPS*close
8804,714758.725,2026-08-31,3445,2026-08-06,23364000000,112.61,207477133.469,NP/EPS*close
8830,3072076.855,2026-08-31,3326,2026-08-06,85161000000,92.2,923655097.614,NP/EPS*close
8876,335013.515,2026-08-31,2209.5,2026-08-06,5228000000,34.48,151624129.93,NP/EPS*close
9001,588328.103,2026-08-31,3009,2026-08-04,14193000000,72.59,195522799.284,NP/EPS*close
9003,252633.078,2026-08-31,2632.5,2026-07-30,8138000000,84.8,95966981.132,NP/EPS*close
9005,942987.157,2026-08-31,1660.5,2026-08-07,36260000000,63.85,567893500.392,NP/EPS*close
9006,418918.669,2026-08-31,1569.5,2026-08-05,4711000000,17.65,266912181.303,NP/EPS*close
9007,614896.914,2026-08-31,1783,2026-08-07,11622000000,33.7,344866468.843,NP/EPS*close
9008,453234.305,2026-08-31,783,2026-08-06,11710000000,20.23,578843302.027,NP/EPS*close
9009,657673.342,2026-08-31,1364,2026-07-31,15410000000,31.96,482165206.508,NP/EPS*close
9020,4043308.051,2026-08-31,3581,2026-07-31,68017000000,60.24,1129100265.604,NP/EPS*close
9021,1372070.979,2026-08-31,3015,2026-08-05,39046000000,85.8,455081585.082,NP/EPS*close
9022,3791752.176,2026-08-31,3976,2026-07-31,142658000000,149.59,953660004.011,NP/EPS*close
9023,853901.278,2026-08-31,1471,2026-07-31,16811000000,28.96,580490331.492,NP/EPS*close
9024,872477.936,2026-08-31,3432,2026-07-31,16753000000,65.9,254218512.898,NP/EPS*close
9031,236044.325,2026-08-31,3126,2026-08-06,8402000000,111.27,75510020.67,NP/EPS*close
9041,663764.198,2026-08-31,3491,2026-08-10,11758000000,61.84,190135834.411,NP/EPS*close
9042,1107675.759,2026-08-31,4701,2026-07-31,36800000000,156.18,235625560.251,NP/EPS*close
9044,336141.935,2026-08-31,3107,2026-07-30,7848000000,72.54,108188585.608,NP/EPS*close
9045,322864.538,2026-08-31,3200,2026-08-07,9355000000,92.72,100895168.248,NP/EPS*close
9048,372231.712,2026-08-31,1898,2026-08-10,12579000000,64.14,196117867.166,NP/EPS*close
9064,617834.158,2026-08-31,1951,2026-08-03,-5887000000,-18.59,316675632.06,NP/EPS*close
9065,417435.002,2026-08-31,8328,2026-07-31,8873000000,177.02,50124279.742,NP/EPS*close
9069,375185.379,2026-08-31,2240,2026-08-12,6415000000,38.3,167493472.585,NP/EPS*close
9072,658343.841,2026-08-31,5518,2026-08-07,17493000000,146.62,119308416.314,NP/EPS*close
9076,451731.748,2026-08-31,2779,2026-08-06,8612000000,52.98,162551906.38,NP/EPS*close
9101,2844354.967,2026-08-31,7040,2026-08-05,67109000000,166.1,404027694.16,NP/EPS*close
9104,2407329.259,2026-08-31,7006,2026-08-07,61056000000,177.69,343609657.268,NP/EPS*close
9107,2081828.434,2026-08-31,3330,2026-08-04,23394000000,37.42,625173703.902,NP/EPS*close
9142,556823.795,2026-08-31,3619,2026-08-04,15700000000,102.04,153861230.89,NP/EPS*close
9143,902642.336,2026-08-31,1512.5,2026-08-07,12264000000,20.55,596788321.168,NP/EPS*close
9147,1395936.925,2026-08-31,5773,2026-08-07,24282000000,100.42,241804421.43,NP/EPS*close
9201,1773733.333,2026-08-31,3012,2026-08-03,5353000000,9.09,588888888.889,NP/EPS*close
9202,1475119.505,2026-08-31,3039,2026-07-29,19411000000,39.99,485396349.087,NP/EPS*close
9301,523306.732,2026-08-31,1528.5,2026-07-31,6077000000,17.75,342366197.183,NP/EPS*close
9302,252840.515,2026-08-31,3350,2026-08-04,3696000000,48.97,75474780.478,NP/EPS*close
9364,482558.557,2026-08-31,4888,2026-08-13,7113000000,72.05,98723108.952,NP/EPS*close
9401,942178.394,2026-08-31,6025,2026-08-06,14490000000,92.66,156378156.702,NP/EPS*close
9404,747820.195,2026-08-31,3040,2026-07-31,22656000000,92.1,245993485.342,NP/EPS*close
9432,14026087.278,2026-08-31,172.5,2026-08-06,274830000000,3.38,81310650887.574,NP/EPS*close
9433,11267601.626,2026-08-31,2959.5,2026-08-07,195465000000,51.34,3807265290.222,NP/EPS*close
9434,11515079.935,2026-08-31,237.1,2026-08-04,150070000000,3.09,48566343042.071,NP/EPS*close
9435,1772046.013,2026-08-31,40470,2026-08-13,36656000000,837.15,43786657.11,NP/EPS*close
9449,415110.688,2026-08-31,4198,2026-08-14,11685000000,118.17,98882965.22,NP/EPS*close
9468,545093.851,2026-08-31,3710,2026-08-13,-4540000000,-30.9,146925566.343,NP/EPS*close
9501,862457.169,2026-08-31,538.1,2026-08-13,-9793000000,-6.11,1602782324.059,NP/EPS*close
9502,2170664.099,2026-08-31,2873.5,2026-08-07,35202000000,46.6,755407725.322,NP/EPS*close
9503,3131278.983,2026-08-31,2810.5,2026-07-31,137061000000,123.02,1114135912.86,NP/EPS*close
9504,362636.988,2026-08-31,1008.5,2026-08-05,-3772000000,-10.49,359580552.908,NP/EPS*close
9505,212871.843,2026-08-31,1019,2026-07-29,22198000000,106.26,208902691.511,NP/EPS*close
9506,665405.207,2026-08-31,1330,2026-07-29,36127000000,72.21,500304666.944,NP/EPS*close
9507,402201.719,2026-08-31,1968,2026-08-07,19732000000,96.55,204370792.336,NP/EPS*close
9508,981577.602,2026-08-31,2027,2026-07-31,61098000000,126.17,484251406.832,NP/EPS*close
9509,232119.851,2026-08-31,1103.5,2026-08-07,14777000000,70.25,210348754.448,NP/EPS*close
9513,720628.087,2026-08-31,4094,2026-07-31,27424000000,155.8,176020539.153,NP/EPS*close
9531,2053474.886,2026-08-31,6186,2026-07-30,35569000000,107.15,331955202.986,NP/EPS*close
9532,2199718.998,2026-08-31,5757,2026-07-30,35680000000,93.38,382094666.952,NP/EPS*close
9533,446731.424,2026-08-31,1241.5,2026-07-27,9424000000,26.19,359831996.945,NP/EPS*close
9602,1319213.456,2026-08-31,1579,2026-07-15,8196000000,9.81,835474006.116,NP/EPS*close
9616,313454.545,2026-08-31,3448,2026-08-07,3040000000,33.44,90909090.909,NP/EPS*close
9627,215966.804,2026-08-31,6150,2026-06-11,17264000000,491.62,35116553.436,NP/EPS*close
9684,1065505.581,2026-08-31,2955,2026-08-10,13244000000,36.73,360577184.863,NP/EPS*close
9697,1786098.551,2026-08-31,4270,2026-07-28,29159000000,69.71,418290058.815,NP/EPS*close
9706,548515.766,2026-08-31,5910,2026-08-24,8418000000,90.7,92811466.373,NP/EPS*close
