trade_date,name,open,high,low,close,change,change_pct,fetched_at
2021-09-08,中抜きピンハネ指数,,,,265.2958,2.5891,0.9855,2026-08-30T19:23:52+09:00
2021-09-08,ライフライン占有指数,,,,102.6411,0.3819,0.3735,2026-08-30T19:23:52+09:00
2021-09-08,日銭商い指数,,,,157.3957,0.1883,0.1198,2026-08-30T19:23:52+09:00
2021-09-08,ハードグッズ指数,,,,153.8278,1.8543,1.2201,2026-08-30T19:23:52+09:00
2021-09-08,自己顕示欲指数,,,,170.2345,2.4042,1.4325,2026-08-30T19:23:52+09:00
2021-09-08,脳Hack指数,,,,223.9249,3.1138,1.4102,2026-08-30T19:23:52+09:00
2021-09-08,テクノロジー指数,,,,226.0871,2.4087,1.0769,2026-08-30T19:23:52+09:00
2021-09-08,ライジングサン指数,,,,207.756,2.1828,1.0618,2026-08-30T19:23:52+09:00
2021-09-09,ブルジョワ地主指数,,,,121.546,-1.0295,-0.8399,2026-08-30T19:23:52+09:00
2021-09-09,政治寄生指数,,,,202.7178,-0.1897,-0.0935,2026-08-30T19:23:52+09:00
2021-09-09,中抜きピンハネ指数,,,,263.5326,-1.7632,-0.6646,2026-08-30T19:23:52+09:00
2021-09-09,ライフライン占有指数,,,,103.305,0.6639,0.6468,2026-08-30T19:23:52+09:00
2021-09-09,日銭商い指数,,,,157.7565,0.3608,0.2292,2026-08-30T19:23:52+09:00
2021-09-09,ハードグッズ指数,,,,152.2663,-1.5615,-1.0151,2026-08-30T19:23:52+09:00
2021-09-09,自己顕示欲指数,,,,168.9321,-1.3024,-0.7651,2026-08-30T19:23:52+09:00
2021-09-09,脳Hack指数,,,,221.9445,-1.9804,-0.8844,2026-08-30T19:23:52+09:00
2021-09-09,テクノロジー指数,,,,224.3036,-1.7835,-0.7889,2026-08-30T19:23:52+09:00
2021-09-09,ライジングサン指数,,,,205.9619,-1.7941,-0.8636,2026-08-30T19:23:52+09:00
2021-09-10,ブルジョワ地主指数,,,,123.9902,2.4442,2.0109,2026-08-30T19:23:52+09:00
2021-09-10,政治寄生指数,,,,205.5409,2.8231,1.3926,2026-08-30T19:23:52+09:00
2021-09-10,中抜きピンハネ指数,,,,267.611,4.0784,1.5476,2026-08-30T19:23:52+09:00
2021-09-10,ライフライン占有指数,,,,103.4066,0.1016,0.0983,2026-08-30T19:23:52+09:00
2021-09-10,日銭商い指数,,,,159.7144,1.9579,1.2411,2026-08-30T19:23:52+09:00
2021-09-10,ハードグッズ指数,,,,154.9873,2.721,1.787,2026-08-30T19:23:52+09:00
2021-09-10,自己顕示欲指数,,,,169.989,1.0569,0.6256,2026-08-30T19:23:52+09:00
2021-09-10,脳Hack指数,,,,223.6792,1.7347,0.7816,2026-08-30T19:23:52+09:00
2021-09-10,テクノロジー指数,,,,227.3368,3.0332,1.3523,2026-08-30T19:23:52+09:00
2021-09-10,ライジングサン指数,,,,208.6117,2.6498,1.2865,2026-08-30T19:23:52+09:00
2021-09-13,ブルジョワ地主指数,,,,125.1148,1.1246,0.907,2026-08-30T19:23:52+09:00
2021-09-13,政治寄生指数,,,,206.6755,1.1346,0.552,2026-08-30T19:23:52+09:00
2021-09-13,中抜きピンハネ指数,,,,268.4632,0.8522,0.3184,2026-08-30T19:23:52+09:00
2021-09-13,ライフライン占有指数,,,,103.4302,0.0236,0.0228,2026-08-30T19:23:52+09:00
2021-09-13,日銭商い指数,,,,160.3215,0.6071,0.3801,2026-08-30T19:23:52+09:00
2021-09-13,ハードグッズ指数,,,,154.8089,-0.1784,-0.1151,2026-08-30T19:23:52+09:00
2021-09-13,自己顕示欲指数,,,,171.1797,1.1907,0.7005,2026-08-30T19:23:52+09:00
2021-09-13,脳Hack指数,,,,225.2052,1.526,0.6822,2026-08-30T19:23:52+09:00
2021-09-13,テクノロジー指数,,,,228.6128,1.276,0.5613,2026-08-30T19:23:52+09:00
2021-09-13,ライジングサン指数,,,,209.3759,0.7642,0.3663,2026-08-30T19:23:52+09:00
2021-09-14,ブルジョワ地主指数,,,,126.714,1.5992,1.2782,2026-08-30T19:23:52+09:00
2021-09-14,政治寄生指数,,,,208.1353,1.4598,0.7063,2026-08-30T19:23:52+09:00
2021-09-14,中抜きピンハネ指数,,,,271.9055,3.4423,1.2822,2026-08-30T19:23:52+09:00
