trade_date,name,open,high,low,close,change,change_pct,fetched_at
2016-11-22,東証グロース市場250指数,925.07,930.8,920.98,929.41,,,2026-08-15T14:30:42+09:00
2016-11-24,TOPIX,1461.66,1463.47,1458.13,1459.96,,,2026-08-12T20:50:03+09:00
2016-11-24,TOPIX グロース,1822.84,1826.48,1818.3,1820.99,,,2026-08-12T20:50:03+09:00
2016-11-24,TOPIX バリュー,1694.06,1695.95,1689.15,1692.95,,,2026-08-12T20:50:03+09:00
2016-11-24,東証グロース市場250指数,933.42,933.91,923.56,924.11,,,2026-08-15T14:30:42+09:00
2016-11-25,TOPIX,1463.92,1472.63,1456.34,1464.53,,,2026-08-12T20:50:03+09:00
2016-11-25,TOPIX グロース,1826.84,1834.05,1819.6,1828.33,,,2026-08-12T20:50:03+09:00
2016-11-25,TOPIX バリュー,1698.07,1709.78,1686,1696.74,,,2026-08-12T20:50:03+09:00
2016-11-25,東証グロース市場250指数,922.35,923.91,905.75,911.65,,,2026-08-15T14:30:42+09:00
2016-11-28,TOPIX,1457.89,1471.19,1456.76,1469.58,,,2026-08-12T20:50:03+09:00
2016-11-28,TOPIX グロース,1821.36,1832.96,1818.17,1830.97,,,2026-08-12T20:50:03+09:00
2016-11-28,TOPIX バリュー,1687.76,1707.75,1685.49,1705.92,,,2026-08-12T20:50:03+09:00
2016-11-28,東証グロース市場250指数,911.59,921.71,908.5,921.17,,,2026-08-15T14:30:42+09:00
2016-11-29,TOPIX,1462.38,1469.59,1462.24,1468.57,,,2026-08-12T20:50:03+09:00
2016-11-29,TOPIX グロース,1825.12,1833.33,1825.12,1831.81,,,2026-08-12T20:50:03+09:00
2016-11-29,TOPIX バリュー,1694.54,1704.08,1694.19,1702.84,,,2026-08-12T20:50:03+09:00
2016-11-29,東証グロース市場250指数,918.87,926.69,916.57,921.47,,,2026-08-15T14:30:42+09:00
2016-11-30,TOPIX,1471.81,1473.02,1466.07,1469.43,,,2026-08-12T20:50:03+09:00
2016-11-30,TOPIX グロース,1835.63,1837.12,1830.21,1834.65,,,2026-08-12T20:50:03+09:00
2016-11-30,TOPIX バリュー,1706.89,1708.27,1698.64,1702.24,,,2026-08-12T20:50:03+09:00
2016-11-30,東証グロース市場250指数,922.55,927.99,920.24,922.48,,,2026-08-15T14:30:42+09:00
2016-12-01,TOPIX,1486.08,1498.74,1478.75,1483.27,,,2026-08-12T20:50:03+09:00
2016-12-01,TOPIX グロース,1850.99,1862.56,1836.94,1842.57,,,2026-08-12T20:50:03+09:00
2016-12-01,TOPIX バリュー,1723.65,1744.68,1721.59,1726.78,,,2026-08-12T20:50:03+09:00
2016-12-01,東証グロース市場250指数,924.69,928.7,916.98,919.98,,,2026-08-15T14:30:42+09:00
2016-12-02,TOPIX,1480.24,1484.52,1471.34,1477.98,,,2026-08-12T20:50:03+09:00
2016-12-02,TOPIX グロース,1833.21,1836.08,1813.09,1820.16,,,2026-08-12T20:50:03+09:00
2016-12-02,TOPIX バリュー,1727.67,1737.61,1726.12,1734.97,,,2026-08-12T20:50:03+09:00
2016-12-02,東証グロース市場250指数,918.91,919.93,901.05,907.02,,,2026-08-15T14:30:42+09:00
2016-12-05,TOPIX,1470.42,1472.34,1462.07,1466.96,,,2026-08-12T20:50:03+09:00
2016-12-05,TOPIX グロース,1812.24,1816.42,1802.66,1808.02,,,2026-08-12T20:50:03+09:00
2016-12-05,TOPIX バリュー,1724.74,1725.89,1713.98,1720.74,,,2026-08-12T20:50:03+09:00
2016-12-05,東証グロース市場250指数,904.02,909.3,901.91,902.76,,,2026-08-15T14:30:42+09:00
2016-12-06,TOPIX,1481.35,1483.43,1472.75,1477.2,,,2026-08-12T20:50:03+09:00
2016-12-06,TOPIX グロース,1822.43,1824.1,1808.16,1811.55,,,2026-08-12T20:50:03+09:00
2016-12-06,TOPIX バリュー,1740.54,1745.29,1733.63,1741,,,2026-08-12T20:50:03+09:00
