trade_date,group,section,item,column,value,unit,note,fetched_at
2026-08-13,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),買い,新規(千円),82649210.0,,,2026-08-15T07:13:40+09:00
2026-08-13,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),買い,返済(千円),84511922.0,,売り,2026-08-15T07:13:40+09:00
2026-08-13,取引動向(松井証券店内),先導株比率(売買代金上位占有率),全体(%),上位10銘柄,70.0,,,2026-08-15T07:13:40+09:00
2026-08-13,取引動向(松井証券店内),先導株比率(売買代金上位占有率),全体(%),上位20銘柄,78.8,,,2026-08-15T07:13:40+09:00
2026-08-13,取引動向(松井証券店内),先導株比率(売買代金上位占有率),売り(%),上位10銘柄,69.4,,,2026-08-15T07:13:40+09:00
2026-08-13,取引動向(松井証券店内),先導株比率(売買代金上位占有率),売り(%),上位20銘柄,78.9,,,2026-08-15T07:13:40+09:00
2026-08-13,取引動向(松井証券店内),先導株比率(売買代金上位占有率),買い(%),上位10銘柄,70.7,,,2026-08-15T07:13:40+09:00
2026-08-13,取引動向(松井証券店内),先導株比率(売買代金上位占有率),買い(%),上位20銘柄,78.9,,,2026-08-15T07:13:40+09:00
2026-08-13,取引動向(松井証券店内),市場別株式売買代金,合計 (億円),内グロース市場,93.88,,,2026-08-15T07:13:40+09:00
2026-08-13,取引動向(松井証券店内),市場別株式売買代金,合計 (億円),東証,5894.0,,,2026-08-15T07:13:40+09:00
2026-08-13,取引動向(松井証券店内),市場別株式売買代金,売り代金 (億円),内グロース市場,45.17,,,2026-08-15T07:13:40+09:00
2026-08-13,取引動向(松井証券店内),市場別株式売買代金,売り代金 (億円),東証,3028.32,,,2026-08-15T07:13:40+09:00
2026-08-13,取引動向(松井証券店内),市場別株式売買代金,牛熊比率 (%),内グロース市場,51.88,,,2026-08-15T07:13:40+09:00
2026-08-13,取引動向(松井証券店内),市場別株式売買代金,牛熊比率 (%),東証,48.62,,,2026-08-15T07:13:40+09:00
2026-08-13,取引動向(松井証券店内),市場別株式売買代金,買い代金 (億円),内グロース市場,48.71,,,2026-08-15T07:13:40+09:00
2026-08-13,取引動向(松井証券店内),市場別株式売買代金,買い代金 (億円),東証,2865.68,,,2026-08-15T07:13:40+09:00
