code,major,sector,industry,demand
3774,内需・国内景気,国内情報通信,通信インフラ,強内需
3861,資源・市況,素材・化学,紙・炭素,内需
3923,内需・国内景気,国内情報通信,B2B,強内需
3941,資源・市況,素材・化学,紙・炭素,内需
3994,内需・国内景気,国内情報通信,B2B,強内需
4004,外需・グローバル景気,半導体,半導体材料,外需
4005,資源・市況,素材・化学,基礎化学,外需
4021,外需・グローバル景気,素材,化学・機能材料,外需
4042,資源・市況,素材・化学,基礎化学,外需
4043,資源・市況,素材・化学,基礎化学,外需
4045,外需・グローバル景気,素材,化学・機能材料,外需
4061,資源・市況,素材・化学,基礎化学,外需
4062,外需・グローバル景気,半導体,半導体材料,強外需
4063,外需・グローバル景気,半導体,半導体材料,強外需
4091,外需・グローバル景気,素材,化学・機能材料,強外需
4114,外需・グローバル景気,素材,化学・機能材料,外需
4118,外需・グローバル景気,素材,化学・機能材料,外需
4151,ディフェンシブ・公共,医薬品,医薬品,内外均衡
417A,内需・国内景気,国内消費,生活小売,強内需
4182,外需・グローバル景気,素材,化学・機能材料,外需
4183,資源・市況,素材・化学,基礎化学,外需
4186,外需・グローバル景気,半導体,半導体材料,強外需
4188,資源・市況,素材・化学,基礎化学,外需
4194,内需・国内景気,国内サービス,B2B,強内需
4202,外需・グローバル景気,素材,化学・機能材料,外需
4203,外需・グローバル景気,素材,化学・機能材料,外需
4204,外需・グローバル景気,素材,化学・機能材料,外需
4205,外需・グローバル景気,素材,化学・機能材料,外需
4206,内需・国内景気,国内建設・不動産,インフラ系,強内需
4208,資源・市況,素材・化学,基礎化学,外需
4272,外需・グローバル景気,素材,化学・機能材料,外需
4307,内需・国内景気,国内情報通信,B2B,強内需
4324,内需・国内景気,国内サービス,B2B,内外均衡
4385,内需・国内景気,国内情報通信,B2C,内需
4401,外需・グローバル景気,素材,化学・機能材料,外需
4403,外需・グローバル景気,素材,化学・機能材料,外需
4452,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
4502,ディフェンシブ・公共,医薬品,医薬品,外需
4503,ディフェンシブ・公共,医薬品,医薬品,外需
4506,ディフェンシブ・公共,医薬品,医薬品,内外均衡
4507,ディフェンシブ・公共,医薬品,医薬品,内外均衡
4516,ディフェンシブ・公共,医薬品,医薬品,内外均衡
4519,ディフェンシブ・公共,医薬品,医薬品,強外需
4523,ディフェンシブ・公共,医薬品,医薬品,外需
4527,ディフェンシブ・公共,医薬品,医薬品,内需
4528,ディフェンシブ・公共,医薬品,医薬品,内外均衡
4536,ディフェンシブ・公共,医薬品,医薬品,内需
4540,ディフェンシブ・公共,医薬品,医薬品,内需
4543,外需・グローバル景気,精密,精密医療,強外需
4544,内需・国内景気,ヘルスケア,医療サービス・機器,強内需
4568,ディフェンシブ・公共,医薬品,医薬品,強外需
4578,ディフェンシブ・公共,医薬品,医薬品,外需
4587,外需・グローバル景気,精密,精密医療,外需
4612,外需・グローバル景気,素材,化学・機能材料,外需
4613,外需・グローバル景気,素材,化学・機能材料,外需
4626,外需・グローバル景気,半導体,半導体材料,強外需
4631,外需・グローバル景気,素材,化学・機能材料,外需
4661,内需・国内景気,国内消費,余剰小売,強内需
4665,内需・国内景気,国内サービス,B2C,強内需
4666,内需・国内景気,国内建設・不動産,不動産,強内需
4676,内需・国内景気,メディア,テレビ・放送,強内需
4680,内需・国内景気,国内消費,レジャー・娯楽,内外均衡
4681,内需・国内景気,国内消費,余剰小売,強内需
4684,内需・国内景気,国内情報通信,B2B,強内需
4689,内需・国内景気,国内情報通信,B2C,強内需
4704,内需・国内景気,国内情報通信,B2B,強外需
4716,内需・国内景気,国内情報通信,B2B,内需
4732,内需・国内景気,国内サービス,B2B,強内需
4733,内需・国内景気,国内情報通信,B2B,強内需
4751,内需・国内景気,国内情報通信,B2C,内需
4755,内需・国内景気,国内情報通信,B2C,内需
4768,内需・国内景気,国内情報通信,B2B,強内需
4887,ディフェンシブ・公共,医薬品,医薬品,内需
4901,外需・グローバル景気,精密,精密医療,外需
4902,外需・グローバル景気,電機・電子,民生・事務機器,外需
4911,内需・国内景気,国内消費,余剰小売,内需
4912,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
4922,内需・国内景気,国内消費,余剰小売,内需
4927,内需・国内景気,国内消費,余剰小売,内需
4967,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
4980,外需・グローバル景気,半導体,半導体材料,強外需
5016,資源・市況,非鉄・電線,非鉄金属,強外需
5019,資源・市況,エネルギー・資源,石油・ガス・資源,内外均衡
5020,資源・市況,エネルギー・資源,石油・ガス・資源,内外均衡
5021,資源・市況,エネルギー・資源,石油・ガス・資源,内外均衡
5076,内需・国内景気,国内建設・不動産,インフラ系,強内需
5101,外需・グローバル景気,自動車,タイヤ・ゴム,強外需
5105,外需・グローバル景気,自動車,タイヤ・ゴム,強外需
5108,外需・グローバル景気,自動車,タイヤ・ゴム,強外需
5110,外需・グローバル景気,自動車,タイヤ・ゴム,強外需
5201,外需・グローバル景気,素材,素材・建材,強外需
5214,外需・グローバル景気,素材,素材・建材,強外需
5232,内需・国内景気,国内建設・不動産,インフラ系,強内需
5233,内需・国内景気,国内建設・不動産,インフラ系,強内需
5301,資源・市況,素材・化学,紙・炭素,外需
5332,内需・国内景気,国内建設・不動産,住宅系,内需
5333,外需・グローバル景気,電機・電子,電子部品・電子機器,強外需
5334,外需・グローバル景気,電機・電子,電子部品・電子機器,強外需
5344,外需・グローバル景気,電機・電子,電子部品・電子機器,強外需
5393,内需・国内景気,国内建設・不動産,インフラ系,内需
5401,資源・市況,鉄鋼,鉄鋼,外需
5406,資源・市況,鉄鋼,鉄鋼,外需
5411,資源・市況,鉄鋼,鉄鋼,外需
5444,資源・市況,鉄鋼,鉄鋼,外需
5463,資源・市況,鉄鋼,鉄鋼,外需
5471,資源・市況,鉄鋼,鉄鋼,外需
5631,外需・グローバル景気,重工・防衛,重工・防衛,外需
5706,資源・市況,非鉄・電線,非鉄金属,外需
5711,資源・市況,非鉄・電線,非鉄金属,強外需
5713,資源・市況,非鉄・電線,非鉄金属,強外需
5714,資源・市況,非鉄・電線,非鉄金属,強外需
5801,資源・市況,非鉄・電線,電線,強外需
5802,資源・市況,非鉄・電線,電線,強外需
5803,資源・市況,非鉄・電線,電線,強外需
5830,金融・金利敏感,金融,他銀行,強内需
5831,金融・金利敏感,金融,他銀行,強内需
5832,金融・金利敏感,金融,他銀行,強内需
5838,金融・金利敏感,金融,他銀行,強内需
5844,金融・金利敏感,金融,他銀行,強内需
5901,内需・国内景気,国内消費,食品・生活用品,内需
5929,外需・グローバル景気,素材,素材・建材,内外均衡
5938,内需・国内景気,国内建設・不動産,住宅系,内需
5947,内需・国内景気,国内建設・不動産,住宅系,内需
5991,外需・グローバル景気,自動車,自動車部品,強外需
6005,外需・グローバル景気,機械,産業・建設機械,内外均衡
6098,内需・国内景気,国内サービス,B2B,内需
6113,外需・グローバル景気,機械,工作機械,強外需
6134,外需・グローバル景気,機械,工作機械,強外需
6136,外需・グローバル景気,機械,工作機械,強外需
6141,外需・グローバル景気,機械,工作機械,強外需
6146,外需・グローバル景気,半導体,半導体製造装置,強外需
6178,内需・国内景気,運輸・物流,陸運・物流,強内需
6268,外需・グローバル景気,機械,FA・制御,外需
6269,資源・市況,エネルギー・資源,石油・ガス・資源,強外需
6273,外需・グローバル景気,機械,FA・制御,強外需
6301,外需・グローバル景気,機械,産業・建設機械,強外需
6302,外需・グローバル景気,機械,産業・建設機械,外需
6305,外需・グローバル景気,機械,産業・建設機械,強外需
6323,外需・グローバル景気,半導体,半導体製造装置,強外需
6326,外需・グローバル景気,機械,産業・建設機械,外需
6361,外需・グローバル景気,機械,産業・建設機械,外需
6367,外需・グローバル景気,機械,産業・建設機械,強外需
6368,外需・グローバル景気,電機・電子,電子部品・電子機器,外需
6370,外需・グローバル景気,電機・電子,電子部品・電子機器,外需
6383,外需・グローバル景気,機械,FA・制御,外需
6417,内需・国内景気,国内消費,レジャー・娯楽,強内需
6436,内需・国内景気,国内情報通信,B2B,内需
6448,外需・グローバル景気,電機・電子,民生・事務機器,外需
6457,内需・国内景気,国内情報通信,B2B,内需
6460,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,内外均衡
6465,外需・グローバル景気,機械,産業・建設機械,内外均衡
6471,外需・グローバル景気,自動車,自動車部品,強外需
6472,外需・グローバル景気,自動車,自動車部品,強外需
6473,外需・グローバル景気,自動車,自動車部品,強外需
6479,外需・グローバル景気,自動車,自動車部品,強外需
6481,外需・グローバル景気,自動車,自動車部品,強外需
6501,外需・グローバル景気,電機・電子,重電・電池,外需
6503,外需・グローバル景気,電機・電子,重電・電池,外需
6504,外需・グローバル景気,電機・電子,重電・電池,外需
6506,外需・グローバル景気,機械,FA・制御,強外需
6525,外需・グローバル景気,半導体,半導体製造装置,強外需
6526,外需・グローバル景気,半導体,半導体デバイス・メモリ,強外需
6532,内需・国内景気,国内サービス,B2B,強内需
6544,内需・国内景気,国内サービス,B2B,強内需
6586,外需・グローバル景気,機械,産業・建設機械,強外需
6592,外需・グローバル景気,自動車,自動車部品,強外需
6632,外需・グローバル景気,自動車,自動車部品,外需
6645,外需・グローバル景気,機械,FA・制御,強外需
6674,外需・グローバル景気,電機・電子,重電・電池,外需
6701,外需・グローバル景気,IT・通信,IT・通信,内需
6702,外需・グローバル景気,IT・通信,IT・通信,内需
6707,外需・グローバル景気,半導体,半導体デバイス・メモリ,強外需
6723,外需・グローバル景気,半導体,半導体デバイス・メモリ,強外需
6724,外需・グローバル景気,電機・電子,民生・事務機器,外需
6728,外需・グローバル景気,半導体,半導体製造装置,強外需
6752,外需・グローバル景気,電機・電子,重電・電池,外需
6753,外需・グローバル景気,電機・電子,民生・事務機器,内外均衡
6754,外需・グローバル景気,精密,精密機械,外需
6758,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,強外需
6762,外需・グローバル景気,電機・電子,電子部品・電子機器,強外需
6770,外需・グローバル景気,自動車,自動車部品,強外需
6806,外需・グローバル景気,電機・電子,電子部品・電子機器,強外需
6841,外需・グローバル景気,機械,FA・制御,外需
6845,外需・グローバル景気,機械,FA・制御,外需
6849,外需・グローバル景気,精密,精密医療,内外均衡
6856,外需・グローバル景気,精密,精密機械,外需
6857,外需・グローバル景気,半導体,半導体製造装置,強外需
6861,外需・グローバル景気,機械,FA・制御,強外需
6869,外需・グローバル景気,精密,精密医療,内外均衡
6902,外需・グローバル景気,自動車,自動車部品,強外需
6920,外需・グローバル景気,半導体,半導体製造装置,強外需
6923,外需・グローバル景気,自動車,自動車部品,強外需
6925,外需・グローバル景気,電機・電子,電子部品・電子機器,外需
6951,外需・グローバル景気,精密,精密機械,強外需
6952,外需・グローバル景気,電機・電子,民生・事務機器,外需
6954,外需・グローバル景気,機械,FA・制御,強外需
6963,外需・グローバル景気,半導体,半導体デバイス・メモリ,強外需
6965,外需・グローバル景気,電機・電子,電子部品・電子機器,強外需
6971,外需・グローバル景気,電機・電子,電子部品・電子機器,強外需
6976,外需・グローバル景気,電機・電子,電子部品・電子機器,強外需
6981,外需・グローバル景気,電機・電子,電子部品・電子機器,強外需
6988,外需・グローバル景気,半導体,半導体材料,強外需
7003,外需・グローバル景気,重工・防衛,重工・防衛,強外需
7011,外需・グローバル景気,重工・防衛,重工・防衛,外需
7012,外需・グローバル景気,重工・防衛,重工・防衛,外需
7013,外需・グローバル景気,重工・防衛,重工・防衛,外需
7164,金融・金利敏感,金融,他金融,強内需
7167,金融・金利敏感,金融,他銀行,強内需
7180,金融・金利敏感,金融,他銀行,強内需
7181,金融・金利敏感,金融,生損保,内需
7182,金融・金利敏感,金融,他銀行,強内需
7186,金融・金利敏感,金融,他銀行,強内需
7189,金融・金利敏感,金融,他銀行,強内需
7201,外需・グローバル景気,自動車,完成車,強外需
7202,外需・グローバル景気,自動車,完成車,強外需
7203,外需・グローバル景気,自動車,完成車,強外需
7211,外需・グローバル景気,自動車,完成車,強外需
7240,外需・グローバル景気,自動車,自動車部品,強外需
7259,外需・グローバル景気,自動車,自動車部品,強外需
7261,外需・グローバル景気,自動車,完成車,強外需
7267,外需・グローバル景気,自動車,完成車,強外需
7269,外需・グローバル景気,自動車,完成車,強外需
7270,外需・グローバル景気,自動車,完成車,強外需
7272,外需・グローバル景気,自動車,完成車,強外需
7276,外需・グローバル景気,自動車,自動車部品,強外需
7282,外需・グローバル景気,自動車,自動車部品,強外需
7309,外需・グローバル景気,グローバル消費,グローバル消費,強外需
7313,外需・グローバル景気,自動車,自動車部品,強外需
7337,金融・金利敏感,金融,他銀行,強内需
7453,内需・国内景気,国内消費,生活小売,内外均衡
7458,内需・国内景気,国内消費,レジャー・娯楽,内需
7459,内需・国内景気,ヘルスケア,医薬品卸,強内需
7476,内需・国内景気,ヘルスケア,医療サービス・機器,内需
7532,内需・国内景気,国内消費,生活小売,内需
7550,内需・国内景気,国内消費,生活小売,内外均衡
7616,内需・国内景気,国内消費,外食,内需
7649,内需・国内景気,国内消費,生活小売,強内需
7701,外需・グローバル景気,精密,精密機械,外需
7729,外需・グローバル景気,半導体,半導体製造装置,強外需
7731,外需・グローバル景気,精密,精密機械,外需
7733,外需・グローバル景気,精密,精密医療,強外需
7735,外需・グローバル景気,半導体,半導体製造装置,強外需
7741,外需・グローバル景気,精密,精密医療,強外需
7747,外需・グローバル景気,精密,精密医療,強外需
7751,外需・グローバル景気,電機・電子,民生・事務機器,外需
7752,外需・グローバル景気,電機・電子,民生・事務機器,外需
7832,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
7846,内需・国内景気,国内消費,食品・生活用品,内需
7867,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
7911,外需・グローバル景気,半導体,半導体材料,内外均衡
7912,外需・グローバル景気,半導体,半導体材料,内外均衡
7936,外需・グローバル景気,グローバル消費,グローバル消費,強外需
7951,外需・グローバル景気,グローバル消費,グローバル消費,強外需
7956,ディフェンシブ・公共,ディフェンシブ消費,生活品,外需
7974,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
7984,内需・国内景気,国内消費,食品・生活用品,内需
7988,外需・グローバル景気,自動車,自動車部品,強外需
8001,資源・市況,総合商社,総合商社,強外需
8002,資源・市況,総合商社,総合商社,強外需
8012,外需・グローバル景気,専門商社,専門商社,外需
8015,資源・市況,総合商社,総合商社,強外需
8020,外需・グローバル景気,専門商社,専門商社,外需
8031,資源・市況,総合商社,総合商社,強外需
8035,外需・グローバル景気,半導体,半導体製造装置,強外需
8053,資源・市況,総合商社,総合商社,強外需
8056,内需・国内景気,国内情報通信,B2B,強内需
8058,資源・市況,総合商社,総合商社,強外需
8060,内需・国内景気,国内情報通信,B2B,強内需
8086,ディフェンシブ・公共,医薬品,医薬品,内外均衡
8088,資源・市況,エネルギー・資源,石油・ガス・資源,内需
8111,外需・グローバル景気,グローバル消費,グローバル消費,外需
8113,ディフェンシブ・公共,ディフェンシブ消費,生活品,外需
8129,内需・国内景気,ヘルスケア,医薬品卸,強内需
8136,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
8174,ディフェンシブ・公共,公益,ガス,強内需
8227,内需・国内景気,国内消費,生活小売,強内需
8233,内需・国内景気,国内消費,余剰小売,強内需
8242,内需・国内景気,国内消費,余剰小売,強内需
8252,内需・国内景気,国内消費,生活小売,強内需
8253,金融・金利敏感,金融,クレジット,強内需
8267,内需・国内景気,国内消費,生活小売,強内需
8282,内需・国内景気,国内消費,生活小売,強内需
8303,金融・金利敏感,金融,他銀行,内需
8304,金融・金利敏感,金融,他銀行,内需
8306,金融・金利敏感,金融,メガバンク,内外均衡
8308,金融・金利敏感,金融,他銀行,強内需
8309,金融・金利敏感,金融,他銀行,内需
8316,金融・金利敏感,金融,メガバンク,内外均衡
8331,金融・金利敏感,金融,他銀行,強内需
8334,金融・金利敏感,金融,他銀行,強内需
8341,金融・金利敏感,金融,他銀行,強内需
8354,金融・金利敏感,金融,他銀行,強内需
8359,金融・金利敏感,金融,他銀行,強内需
8377,金融・金利敏感,金融,他銀行,強内需
8410,金融・金利敏感,金融,他銀行,強内需
8411,金融・金利敏感,金融,メガバンク,内外均衡
8418,金融・金利敏感,金融,他銀行,強内需
8424,金融・金利敏感,金融,リース,内需
8439,金融・金利敏感,金融,リース,内需
8473,金融・金利敏感,金融,証券,内需
8570,金融・金利敏感,金融,クレジット,強内需
8572,金融・金利敏感,金融,クレジット,強内需
8591,金融・金利敏感,金融,他金融,内外均衡
8593,金融・金利敏感,金融,リース,内需
8595,金融・金利敏感,金融,他金融,内需
8601,金融・金利敏感,金融,証券,内外均衡
8604,金融・金利敏感,金融,証券,内外均衡
8630,金融・金利敏感,金融,生損保,内需
8697,金融・金利敏感,金融,証券,強内需
8725,金融・金利敏感,金融,生損保,内需
8729,金融・金利敏感,金融,生損保,内需
8750,金融・金利敏感,金融,生損保,内需
8766,金融・金利敏感,金融,生損保,内外均衡
8795,金融・金利敏感,金融,生損保,内需
8801,内需・国内景気,国内建設・不動産,不動産,強内需
8802,内需・国内景気,国内建設・不動産,不動産,強内需
8804,内需・国内景気,国内建設・不動産,不動産,強内需
8830,内需・国内景気,国内建設・不動産,不動産,強内需
8876,内需・国内景気,国内サービス,B2C,強内需
9001,内需・国内景気,運輸・物流,鉄道,強内需
9003,内需・国内景気,運輸・物流,鉄道,強内需
9005,内需・国内景気,運輸・物流,鉄道,強内需
9006,内需・国内景気,運輸・物流,鉄道,強内需
9007,内需・国内景気,運輸・物流,鉄道,強内需
9008,内需・国内景気,運輸・物流,鉄道,強内需
9009,内需・国内景気,運輸・物流,鉄道,強内需
9020,内需・国内景気,運輸・物流,鉄道,強内需
9021,内需・国内景気,運輸・物流,鉄道,強内需
9022,内需・国内景気,運輸・物流,鉄道,強内需
9023,内需・国内景気,運輸・物流,鉄道,強内需
9024,内需・国内景気,運輸・物流,鉄道,強内需
9031,内需・国内景気,運輸・物流,鉄道,強内需
9041,内需・国内景気,運輸・物流,鉄道,強内需
9042,内需・国内景気,運輸・物流,鉄道,強内需
9044,内需・国内景気,運輸・物流,鉄道,強内需
9045,内需・国内景気,運輸・物流,鉄道,強内需
9048,内需・国内景気,運輸・物流,鉄道,強内需
9064,内需・国内景気,運輸・物流,陸運・物流,強内需
9065,内需・国内景気,運輸・物流,陸運・物流,内需
9069,内需・国内景気,運輸・物流,陸運・物流,内需
9072,内需・国内景気,運輸・物流,陸運・物流,内需
9076,内需・国内景気,運輸・物流,陸運・物流,強内需
9101,資源・市況,海運,海運,強外需
9104,資源・市況,海運,海運,強外需
9107,資源・市況,海運,海運,強外需
9142,内需・国内景気,運輸・物流,鉄道,強内需
9143,内需・国内景気,運輸・物流,陸運・物流,強内需
9147,内需・国内景気,運輸・物流,陸運・物流,内需
9201,内需・国内景気,運輸・物流,航空・空港,内需
9202,内需・国内景気,運輸・物流,航空・空港,内需
9301,内需・国内景気,運輸・物流,陸運・物流,強内需
9302,内需・国内景気,運輸・物流,陸運・物流,強内需
9364,内需・国内景気,運輸・物流,陸運・物流,内需
9401,内需・国内景気,メディア,テレビ・放送,強内需
9404,内需・国内景気,メディア,テレビ・放送,強内需
9432,内需・国内景気,国内情報通信,通信インフラ,強内需
9433,内需・国内景気,国内情報通信,通信インフラ,強内需
9434,内需・国内景気,国内情報通信,通信インフラ,強内需
9435,内需・国内景気,国内情報通信,通信インフラ,強内需
9449,内需・国内景気,国内情報通信,通信インフラ,内需
9468,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
9501,ディフェンシブ・公共,公益,電力,強内需
9502,ディフェンシブ・公共,公益,電力,強内需
9503,ディフェンシブ・公共,公益,電力,強内需
9504,ディフェンシブ・公共,公益,電力,強内需
9505,ディフェンシブ・公共,公益,電力,強内需
9506,ディフェンシブ・公共,公益,電力,強内需
9507,ディフェンシブ・公共,公益,電力,強内需
9508,ディフェンシブ・公共,公益,電力,強内需
9509,ディフェンシブ・公共,公益,電力,強内需
9513,ディフェンシブ・公共,公益,電力,強内需
9531,ディフェンシブ・公共,公益,ガス,強内需
9532,ディフェンシブ・公共,公益,ガス,強内需
9533,ディフェンシブ・公共,公益,ガス,強内需
9602,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
9616,内需・国内景気,国内消費,余剰小売,強内需
9627,内需・国内景気,国内消費,生活小売,強内需
9684,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
9697,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
9706,内需・国内景気,運輸・物流,航空・空港,強内需
9735,内需・国内景気,国内サービス,B2C,強内需
9744,内需・国内景気,国内サービス,B2B,内需
9759,内需・国内景気,国内情報通信,B2B,強内需
9766,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
9831,内需・国内景気,国内消費,生活小売,強内需
9843,内需・国内景気,国内消費,生活小売,強内需
9861,内需・国内景気,国内消費,外食,内需
9934,内需・国内景気,国内サービス,B2B,内需
9962,外需・グローバル景気,機械,FA・制御,外需
9983,外需・グローバル景気,グローバル消費,グローバル消費,外需
9984,外需・グローバル景気,IT・通信,IT・通信,強外需
9987,内需・国内景気,ヘルスケア,医薬品卸,強内需
9989,内需・国内景気,国内消費,生活小売,強内需
